kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacterium,Thermodesulfobacterium_OPB45,Thermodesulfobacterium_OPB45_uid68283,1030,Thermodesulfobacteria,Thermodesulfobacteriales
Bacteria,Firmicutes,Clostridia,Thermodesulfobium,Thermodesulfobium_narugense,Thermodesulfobium_narugense_DSM_14796_uid66601,1031,Clostridia,Thermoanaerobacterales
Bacteria,Nitrospirae,Nitrospira,Thermodesulfovibrio,Thermodesulfovibrio_yellowstonii,Thermodesulfovibrio_yellowstonii_DSM_11347_uid59257,1032,Nitrospirae,Nitrospirales
Archaea,Crenarchaeota,Thermoprotei,Thermofilum,Thermofilum_pendens,Thermofilum_pendens_Hrk_5_uid58563,3584,Crenarchaeota,Thermoproteales
Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobium,Thermomicrobium_roseum,Thermomicrobium_roseum_DSM_5159_uid59341,3591,Chloroflexi,Thermomicrobiales
Bacteria,Actinobacteria,Actinobacteria,Thermomonospora,Thermomonospora_curvata,Thermomonospora_curvata_DSM_43183_uid41885,3593,Actinobacteria,Actinomycetales
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasma,Thermoplasma_acidophilum,Thermoplasma_acidophilum_DSM_1728_uid61573,3594,Euryarchaeota,Thermoplasmatales
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasma,Thermoplasma_volcanium,Thermoplasma_volcanium_GSS1_uid57751,3595,Euryarchaeota,Thermoplasmatales
Archaea,Crenarchaeota,Thermoprotei,Thermoproteus,Thermoproteus_neutrophilus,Thermoproteus_neutrophilus_V24Sta_uid58421,3596,Crenarchaeota,Thermoproteales
Archaea,Crenarchaeota,Thermoprotei,Thermoproteus,Thermoproteus_tenax,Thermoproteus_tenax_Kra_1_uid74443,3597,Crenarchaeota,Thermoproteales
Archaea,Crenarchaeota,Thermoprotei,Thermoproteus,Thermoproteus_uzoniensis,Thermoproteus_uzoniensis_768_20_uid65089,1747,Crenarchaeota,Thermoproteales
Bacteria,Firmicutes,Clostridia,Thermosediminibacter,Thermosediminibacter_oceani,Thermosediminibacter_oceani_DSM_16646_uid51421,3874,Clostridia,Thermoanaerobacterales
Bacteria,Thermotogae,Thermotogae,Thermosipho,Thermosipho_africanus,Thermosipho_africanus_TCF52B_uid59095,3875,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermosipho,Thermosipho_melanesiensis,Thermosipho_melanesiensis_BI429_uid58683,3876,Thermotogae,Thermotogales
Archaea,Crenarchaeota,Thermoprotei,Thermosphaera,Thermosphaera_aggregans,Thermosphaera_aggregans_DSM_11486_uid48993,3877,Crenarchaeota,Desulfurococcales
Bacteria,Cyanobacteria,-,Thermosynechococcus,Thermosynechococcus_elongatus,Thermosynechococcus_elongatus_BP_1_uid57907,3878,Cyanobacteria,Chroococcales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_lettingae,Thermotoga_lettingae_TMO_uid58419,3879,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_maritima,Thermotoga_maritima_MSB8_uid57723,3880,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_naphthophila,Thermotoga_naphthophila_RKU_10_uid42777,3881,Thermotogae,Thermotogales
